product_name,product_platform,product_sale_price
Mortal Kombat 11 PS4,PlayStation 4,49
Mortal Kombat 11 Edition Premium PS4,PlayStation 4,108
Mortal Kombat 11 Kollector's Edition PS4,PlayStation 4,279
Mortal Kombat 11 Xbox One,Xbox One,49
Mortal Kombat 11 Edition Premium Xbox One,Xbox One,74
Mortal Kombat 11 Kollector's Edition Xbox One,Xbox One,279
Mortal Kombat 11 Nintendo Switch,Nintendo Switch,49
Mortal Kombat 11 Kollector's Edition PC,PC,279
