product_name,product_platform,product_sale_price
Mortal Kombat 11 PS4,PlayStation 4,54
Mortal Kombat 11 Edition Premium PS4,PlayStation 4,125
Mortal Kombat 11 Kollector's Edition PS4,PlayStation 4,299
Mortal Kombat 11 Xbox One,Xbox One,54
Mortal Kombat 11 Edition Premium Xbox One,Xbox One,114
Mortal Kombat 11 Kollector's Edition Xbox One,Xbox One,299
Mortal Kombat 11 Nintendo Switch,Nintendo Switch,52
Mortal Kombat 11 Kollector's Edition PC,PC,289
