product_name,product_platform,product_sale_price
Mortal Kombat 11: Standard Edition,",Xbox One,","EUR 46,90"
Mortal Kombat 11: Premium Edition,",Xbox One,","EUR 79,99"
Mortal Kombat 11 - Kollector's Edition,",Xbox One,","EUR 299,99"
Mortal Kombat 11: Standard Edition,",PlayStation 4,","EUR 46,90"
Mortal Kombat 11: Premium Edition,",PlayStation 4,","EUR 99,99"
Mortal Kombat 11 - Kollector's Edition,",PlayStation 4,","EUR 299,99"
Mortal Kombat 11: Standard Edition,",Nintendo Switch,","EUR 52,90"
Mortal Kombat 11 - Kollector Edition,",Windows 10,","EUR 289,99"
