product_name,product_platform,product_sale_price
Mortal kombat 11 - édition standard (PS4),Sony PlayStation 4,"46,90"
Mortal kombat 11 - édition premium (PS4),Sony PlayStation 4,"79,99"
Mortal kombat 11 - édition collector (PS4),Sony PlayStation 4,"299,99"
Mortal kombat 11 - édition standard (XBOXONE),Microsoft XBox One,"46,90"
Mortal kombat 11 - édition premium (XBOXONE),Microsoft XBox One,"79,99"
Mortal kombat 11 - édition collector (XBOXONE),Microsoft XBox One,"299,99"
Mortal kombat 11 - édition standard (SWITCH),Nintendo Switch,"49,99"
Mortal kombat 11 - édition collector (PC),PC (Windows),"288,05"
